Date,competition,home_team,home_goals,home_points,away_team,away_goals,away_points,home_prob,draw_prob,away_prob,home_elo,away_elo
2016-09-18,GAA Football All-Ireland Senior Championship,dublin,2,9,mayo,0,15,0.45191045191668167,0.11875,0.4293395480833183,1614,1605
2016-10-01,GAA Football All-Ireland Senior Championship,dublin,1,15,mayo,1,14,0.4509365733326678,0.11875,0.43031342666733224,1614,1606
2017-02-04,Allianz Football League Roinn 1,mayo,0,12,monaghan,1,11,0.5806664341941584,0.07792207792207792,0.3414114878837637,1590,1498
2017-02-04,Allianz Football League Roinn 1,down,0,10,fermanagh,1,16,0.3924843745765133,0.08771929824561403,0.5197963271778727,1448,1496
2017-02-04,Allianz Football League Roinn 1,laois,0,10,louth,2,16,0.4941563460853946,0.07692307692307693,0.42892057699152847,1507,1483
2017-02-05,Allianz Football League Roinn 1,tyrone,0,18,roscommon,1,9,0.5140912254889682,0.07692307692307693,0.4089856975879548,1551,1512
2017-02-05,Allianz Football League Roinn 1,donegal,1,17,kerry,2,17,0.40448223265274685,0.08771929824561403,0.5077984691016392,1524,1564
2017-02-05,Allianz Football League Roinn 1,cavan,0,11,dublin,0,18,0.2745351507055188,0.15584415584415584,0.5696206934503253,1503,1630
2017-02-05,Allianz Football League Roinn 2,galway,0,14,cork,1,11,0.4580072968267335,0.11875,0.4232427031732665,1525,1511
2017-02-05,Allianz Football League Roinn 2,derry,0,11,clare,1,8,0.4274318158122286,0.11875,0.45381818418777137,1514,1525
2017-02-05,Allianz Football League Roinn 2,meath,0,16,kildare,3,17,0.42969611559719056,0.08771929824561403,0.48258458615719535,1478,1498
2017-02-05,Allianz Football League Roinn 3,longford,1,12,offaly,0,10,0.42644681105384863,0.11875,0.45480318894615135,1493,1504
2017-02-05,Allianz Football League Roinn 3,tipperary,2,12,antrim,0,13,0.5701200224054488,0.061855670103092786,0.3680243074914584,1537,1461
2017-02-05,Allianz Football League Roinn 3,sligo,1,14,armagh,2,11,0.5115227792266355,0.07692307692307693,0.41155414385028755,1484,1446
2017-02-05,Allianz Football League Roinn 4,waterford,1,14,armagh,2,11,0.4531985573786522,0.11875,0.42805144262134776,1458,1448
2017-02-05,Allianz Football League Roinn 4,westmeath,2,10,carlow,2,10,0.45621302611617476,0.11875,0.4250369738838252,1486,1473
2017-02-05,Allianz Football League Roinn 4,wicklow,0,10,leitrim,1,17,0.4309243498175078,0.11875,0.4503256501824922,1458,1465
2017-02-05,Allianz Football League Roinn 4,wexford,0,14,limerick,1,8,0.426656464337201,0.11875,0.454593535662799,1465,1476
2017-02-11,Allianz Football League Roinn 1,kerry,1,10,mayo,0,15,0.45446074151845955,0.11875,0.4267892584815404,1580,1569
2017-02-11,Allianz Football League Roinn 1,dublin,0,10,tyrone,1,7,0.5674298483753437,0.061855670103092786,0.37071448152156344,1644,1570
