Date,competition,home_team,home_goals,home_points,away_team,away_goals,away_points,total_home_score,total_away_score
5/16/21,Allianz Football League Roinn 2,Meath,0,16,Westmeath,0,15,16,15
5/16/21,Allianz Football League Roinn 2,Clare,1,16,Laois,0,12,19,12
5/16/21,Allianz Football League Roinn 3,Wicklow,1,10,Offaly,1,14,13,17
5/16/21,Allianz Football League Roinn 4,Sligo,2,19,Leitrim,0,18,25,18
5/22/21,Allianz Football League Roinn 1,Donegal,1,20,Monaghan,4,11,23,23
5/22/21,Allianz Football League Roinn 1,Armagh,2,10,Tyrone,2,15,16,21
5/22/21,Allianz Football League Roinn 2,Westmeath,2,12,Mayo,0,21,18,21
5/22/21,Allianz Football League Roinn 2,Laois,0,10,Cork,2,12,10,18
5/22/21,Allianz Football League Roinn 3,Offaly,0,16,Limerick,1,11,16,14
5/22/21,Allianz Football League Roinn 3,Tipperary,2,12,Wicklow,1,12,18,15
5/22/21,Allianz Football League Roinn 3,Derry,5,13,Fermanagh,0,9,28,9
5/22/21,Allianz Football League Roinn 3,Cavan,1,19,Longford,1,13,22,16
5/22/21,Allianz Football League Roinn 4,Wexford,0,18,Waterford,2,13,18,19
5/23/21,Allianz Football League Roinn 1,Dublin,4,9,Kerry,1,18,21,21
5/23/21,Allianz Football League Roinn 1,Galway,2,16,Roscommon,1,13,22,16
5/23/21,Allianz Football League Roinn 2,Kildare,0,13,Clare,1,13,13,16
5/23/21,Allianz Football League Roinn 2,Down,0,14,Meath,2,15,14,21
5/23/21,Allianz Football League Roinn 4,Leitrim,0,10,Louth,0,19,10,19
5/23/21,Allianz Football League Roinn 4,Antrim,3,13,Sligo,3,12,22,21
5/29/21,Allianz Football League Roinn 1,Armagh,1,16,Donegal,1,16,19,19
5/29/21,Allianz Football League Roinn 1,Tyrone,0,14,Monaghan,0,14,14,14
5/29/21,Allianz Football League Roinn 3,Cavan,2,11,Derry,1,16,17,19
5/29/21,Allianz Football League Roinn 3,Fermanagh,1,15,Longford,0,18,18,18
5/29/21,Allianz Football League Roinn 3,Offaly,1,17,Tipperary,1,12,20,15
5/29/21,Allianz Football League Roinn 3,Wicklow,1,12,Limerick,2,19,15,25
5/29/21,Allianz Football League Roinn 4,Carlow,2,12,Wexford,2,11,18,17
5/30/21,Allianz Football League Roinn 1,Roscommon,1,12,Kerry,2,15,15,21
5/30/21,Allianz Football League Roinn 1,Galway,1,15,Dublin,2,16,18,22
5/30/21,Allianz Football League Roinn 2,Mayo,3,17,Meath,2,12,26,18
5/30/21,Allianz Football League Roinn 2,Westmeath,1,9,Down,0,13,12,13
5/30/21,Allianz Football League Roinn 2,Laois,1,8,Kildare,2,18,11,24
5/30/21,Allianz Football League Roinn 2,Clare,1,18,Cork,0,22,21,22
5/30/21,Allianz Football League Roinn 4,Antrim,2,17,Leitrim,1,19,23,22
5/30/21,Allianz Football League Roinn 4,Louth,3,18,Sligo,1,14,27,17
6/12/21,Allianz Football League Roinn 1,Tyrone,1,13,Kerry,6,16,16,34
6/12/21,Allianz Football League Roinn 1,Donegal,1,14,Dublin,1,18,17,21
6/12/21,Allianz Football League Roinn 2,Cork,3,22,Westmeath,0,25,31,25
6/12/21,Allianz Football League Roinn 2,Down,2,19,Laois,2,12,25,18
6/12/21,Allianz Football League Roinn 3,Cavan,0,18,Wicklow,3,11,18,20
6/12/21,Allianz Football League Roinn 3,Derry,0,17,Limerick,0,13,17,13
6/12/21,Allianz Football League Roinn 3,Offaly,1,14,Fermanagh,0,12,17,12
6/12/21,Allianz Football League Roinn 4,Carlow,1,15,Louth,1,23,18,26
6/13/21,Allianz Football League Roinn 1,Armagh,1,17,Roscommon,0,11,20,11
6/13/21,Allianz Football League Roinn 1,Monaghan,1,21,Galway,2,17,24,23
6/13/21,Allianz Football League Roinn 2,Clare,2,18,Mayo,2,22,24,28
6/13/21,Allianz Football League Roinn 2,Kildare,1,14,Meath,0,14,17,14
6/13/21,Allianz Football League Roinn 3,Longford,1,13,Tipperary,0,9,16,9
6/13/21,Allianz Football League Roinn 4,Waterford,0,11,Antrim,1,15,11,18
6/13/21,Allianz Football League Roinn 4,Sligo,0,9,Wexford,2,15,9,21
6/19/21,Allianz Football League Roinn 3,Derry,0,21,Offaly,1,6,21,9
6/26/21,Connacht GAA Football Senior Championship,Sligo,0,12,Mayo,3,23,12,32
6/26/21,Munster GAA Football Senior Championship,Limerick,4,18,Waterford,0,12,30,12
6/26/21,Munster GAA Football Senior Championship,Kerry,3,22,Clare,1,11,31,14
6/27/21,Leinster GAA Football Senior Championship,Offaly,3,19,Louth,0,19,28,19
6/27/21,Leinster GAA Football Senior Championship,Wicklow,0,14,Wexford,2,11,14,17
6/27/21,Leinster GAA Football Senior Championship,Carlow,2,13,Longford,0,25,19,25
6/27/21,Ulster GAA Football Senior Championship,Down,1,12,Donegal,2,25,15,31
7/3/21,Ulster GAA Football Senior Championship,Monaghan,1,21,Fermanagh,0,14,24,14
7/4/21,Connacht GAA Football Senior Championship,Roscommon,0,12,Galway,2,11,12,17
7/4/21,Leinster GAA Football Senior Championship,Laois,1,10,Westmeath,3,20,13,29
7/4/21,Leinster GAA Football Senior Championship,Meath,4,22,Longford,0,12,34,12
7/4/21,Leinster GAA Football Senior Championship,Wexford,0,7,Dublin,0,15,7,15
7/4/21,Leinster GAA Football Senior Championship,Kildare,1,15,Offaly,0,13,18,13
7/4/21,Ulster GAA Football Senior Championship,Armagh,4,15,Antrim,0,14,27,14
7/10/21,Munster GAA Football Senior Championship,Limerick,0,11,Cork,1,16,11,19
7/10/21,Munster GAA Football Senior Championship,Tipperary,1,8,Kerry,1,19,11,22
7/10/21,Ulster GAA Football Senior Championship,Tyrone,1,18,Cavan,0,13,21,13
7/11/21,Connacht GAA Football Senior Championship,Mayo,5,20,Leitrim,0,11,35,11
7/11/21,Ulster GAA Football Senior Championship,Donegal,0,16,Derry,0,15,16,15
7/17/21,Ulster GAA Football Senior Championship,Armagh,2,21,Monaghan,4,17,27,29
7/18/21,Leinster GAA Football Senior Championship,Kildare,2,14,Westmeath,0,18,20,18
7/18/21,Leinster GAA Football Senior Championship,Dublin,2,16,Meath,1,13,22,16
7/18/21,Ulster GAA Football Senior Championship,Tyrone,0,23,Donegal,1,14,23,17
