Date,home_team,away_team,competition,home_points,home_goals,away_points,away_goals,home_win,draw,winning_team,losing_team
6/25/17,dublin,westmeath,Leinster GAA Football Senior Championship,29,4,10,0,1,,dublin,westmeath
7/1/17,laois,clare,GAA Football All-Ireland Senior Championship,14,0,18,2,0,,clare,laois
7/1/17,mayo,derry,GAA Football All-Ireland Senior Championship,21,2,13,1,1,,mayo,derry
7/1/17,donegal,longford,GAA Football All-Ireland Senior Championship,12,0,7,0,1,,donegal,longford
7/1/17,meath,sligo,GAA Football All-Ireland Senior Championship,14,0,9,1,1,,meath,sligo
7/2/17,kerry,cork,Munster GAA Football Senior Championship,23,1,15,0,1,,kerry,cork
7/8/17,cavan,tipperary,GAA Football All-Ireland Senior Championship,18,0,15,2,0,,tipperary,cavan
7/8/17,carlow,leitrim,GAA Football All-Ireland Senior Championship,14,2,13,0,1,,carlow,leitrim
7/8/17,wexford,monaghan,GAA Football All-Ireland Senior Championship,11,1,23,3,0,,monaghan,wexford
7/8/17,clare,mayo,GAA Football All-Ireland Senior Championship,13,0,14,2,0,,mayo,clare
7/8/17,meath,donegal,GAA Football All-Ireland Senior Championship,14,1,15,1,0,,donegal,meath
7/8/17,westmeath,armagh,GAA Football All-Ireland Senior Championship,7,1,12,1,0,,armagh,westmeath
7/9/17,galway,roscommon,Connacht GAA Football Senior Championship,12,0,15,2,0,,roscommon,galway
7/15/17,tipperary,armagh,GAA Football All-Ireland Senior Championship,15,1,17,1,0,,armagh,tipperary
7/15/17,carlow,monaghan,GAA Football All-Ireland Senior Championship,7,1,12,1,0,,monaghan,carlow
7/16/17,dublin,kildare,Leinster GAA Football Senior Championship,23,2,17,1,1,,dublin,kildare
7/16/17,down,tyrone,Ulster GAA Football Senior Championship,15,0,17,2,0,,tyrone,down
7/22/17,cork,mayo,GAA Football All-Ireland Senior Championship,20,2,27,0,0,,mayo,cork
7/22/17,galway,donegal,GAA Football All-Ireland Senior Championship,17,4,14,0,1,,galway,donegal
7/29/17,down,monaghan,GAA Football All-Ireland Senior Championship,16,1,24,1,0,,monaghan,down
7/29/17,armagh,kildare,GAA Football All-Ireland Senior Championship,17,1,17,0,1,,armagh,kildare
7/30/17,kerry,galway,GAA Football All-Ireland Senior Championship,18,1,13,0,1,,kerry,galway
7/30/17,roscommon,mayo,GAA Football All-Ireland Senior Championship,9,2,12,1,2,,null,null
8/5/17,tyrone,armagh,GAA Football All-Ireland Senior Championship,17,3,8,0,1,,tyrone,armagh
8/5/17,dublin,monaghan,GAA Football All-Ireland Senior Championship,19,1,12,0,1,,dublin,monaghan
8/7/17,mayo,roscommon,GAA Football All-Ireland Senior Championship,19,4,9,0,1,,mayo,roscommon
8/20/17,kerry,mayo,GAA Football All-Ireland Senior Championship,14,2,14,2,2,,null,null
8/26/17,kerry,mayo,GAA Football All-Ireland Senior Championship,17,0,16,2,0,,mayo,kerry
8/27/17,dublin,tyrone,GAA Football All-Ireland Senior Championship,17,2,11,0,1,,dublin,tyrone
9/17/17,dublin,mayo,GAA Football All-Ireland Senior Championship,17,1,16,1,1,,dublin,mayo
1/27/18,dublin,kildare,Allianz Football League Roinn 1,17,2,10,2,1,,dublin,kildare
1/27/18,clare,cavan,Allianz Football League Roinn 2,12,1,9,2,2,,null,null
1/27/18,cork,tipperary,Allianz Football League Roinn 2,16,1,16,3,0,,tipperary,cork
1/27/18,london,carlow,Allianz Football League Roinn 4,9,2,14,2,0,,carlow,london
1/27/18,laois,limerick,Allianz Football League Roinn 4,12,2,9,0,1,,laois,limerick
1/28/18,kerry,donegal,Allianz Football League Roinn 1,18,2,14,3,1,,kerry,donegal
1/28/18,monaghan,mayo,Allianz Football League Roinn 1,12,0,13,0,0,,mayo,monaghan
1/28/18,galway,tyrone,Allianz Football League Roinn 1,9,1,8,0,1,,galway,tyrone
1/28/18,louth,down,Allianz Football League Roinn 2,11,0,14,1,0,,down,louth
1/28/18,roscommon,meath,Allianz Football League Roinn 2,12,2,12,2,2,,null,null
1/28/18,armagh,sligo,Allianz Football League Roinn 3,17,2,9,0,1,,armagh,sligo
1/28/18,fermanagh,wexford,Allianz Football League Roinn 3,7,3,5,2,1,,fermanagh,wexford
1/28/18,offaly,longford,Allianz Football League Roinn 3,13,1,18,3,0,,longford,offaly
1/28/18,derry,westmeath,Allianz Football League Roinn 3,14,2,17,2,0,,westmeath,derry
1/28/18,antrim,leitrim,Allianz Football League Roinn 4,15,0,5,0,1,,antrim,leitrim
1/28/18,wicklow,waterford,Allianz Football League Roinn 4,12,0,12,0,2,,null,null
2/3/18,tyrone,dublin,Allianz Football League Roinn 1,11,1,13,2,0,,dublin,tyrone
2/3/18,mayo,kerry,Allianz Football League Roinn 1,9,2,15,1,0,,kerry,mayo
2/3/18,cavan,louth,Allianz Football League Roinn 2,17,3,13,0,1,,cavan,louth
2/4/18,kildare,monaghan,Allianz Football League Roinn 1,12,0,10,1,0,,monaghan,kildare
2/4/18,donegal,galway,Allianz Football League Roinn 1,14,0,12,1,0,,galway,donegal
2/4/18,down,cork,Allianz Football League Roinn 2,10,0,13,1,0,,cork,down
2/4/18,tipperary,roscommon,Allianz Football League Roinn 2,9,3,17,1,0,,roscommon,tipperary
2/4/18,meath,clare,Allianz Football League Roinn 2,21,0,7,0,1,,meath,clare
2/4/18,sligo,wexford,Allianz Football League Roinn 3,16,1,13,1,1,,sligo,wexford
2/4/18,longford,derry,Allianz Football League Roinn 3,13,1,6,1,1,,longford,derry
2/4/18,fermanagh,offaly,Allianz Football League Roinn 3,11,2,6,1,1,,fermanagh,offaly
2/4/18,westmeath,armagh,Allianz Football League Roinn 3,11,1,17,2,0,,armagh,westmeath
2/4/18,london,wicklow,Allianz Football League Roinn 4,16,1,10,0,1,,london,wicklow
2/4/18,waterford,antrim,Allianz Football League Roinn 4,10,0,12,2,0,,antrim,waterford
2/4/18,leitrim,laois,Allianz Football League Roinn 4,10,3,16,3,0,,laois,leitrim
2/4/18,limerick,carlow,Allianz Football League Roinn 4,13,0,11,2,0,,carlow,limerick
2/10/18,dublin,donegal,Allianz Football League Roinn 1,20,0,15,0,1,,dublin,donegal
2/10/18,carlow,leitrim,Allianz Football League Roinn 4,11,2,5,0,1,,carlow,leitrim
2/10/18,laois,waterford,Allianz Football League Roinn 4,18,0,11,1,1,,laois,waterford
2/11/18,galway,mayo,Allianz Football League Roinn 1,13,1,11,0,1,,galway,mayo
2/11/18,kildare,tyrone,Allianz Football League Roinn 1,18,0,16,1,0,,tyrone,kildare
2/11/18,clare,tipperary,Allianz Football League Roinn 2,11,0,11,0,2,,null,null
