Date,competition,team1,team1_goals,team1_points,team2,team2_goals,team2_points,team1_score,team2_score,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,Season_Year
2/5/17,Allianz Football League Roinn 2,Derry,0,11,Clare,1,8,11,11,1509.930127,1509.892745,50,50,1509.930127,1509.892745,2017
2/5/17,Allianz Football League Roinn 2,Meath,0,16,Kildare,3,17,16,26,1488.285644,1499.725766,48,52,1465.215932,1522.795477,2017
2/5/17,Allianz Football League Roinn 3,Longford,1,12,Offaly,0,10,15,10,1494.539744,1510.584329,48,52,1513.148472,1491.9756,2017
2/5/17,Allianz Football League Roinn 3,Tipperary,2,12,Antrim,0,13,18,13,1517.444564,1479.623889,55,45,1533.149392,1463.919061,2017
2/5/17,Allianz Football League Roinn 3,Sligo,1,14,Armagh,2,11,17,17,1490.762345,1474.309959,52,48,1490.762345,1474.309959,2017
2/5/17,Allianz Football League Roinn 4,Waterford,1,14,Armagh,2,11,17,17,1476.189996,1474.309959,50,50,1476.189996,1474.309959,2017
2/5/17,Allianz Football League Roinn 4,Westmeath,2,10,Carlow,2,10,16,16,1483.695812,1484.04607,50,50,1483.695812,1484.04607,2017
2/5/17,Allianz Football League Roinn 4,Wicklow,0,10,Leitrim,1,17,10,20,1475.7666,1478.30051,50,50,1451.989913,1502.077198,2017
2/5/17,Allianz Football League Roinn 4,Wexford,0,14,Limerick,1,8,14,11,1485.284359,1486.495649,50,50,1499.187978,1472.592029,2017
2/11/17,Allianz Football League Roinn 1,Kerry,1,10,Mayo,0,15,13,15,1556.781484,1545.629428,52,48,1545.500035,1556.910877,2017
2/11/17,Allianz Football League Roinn 1,Dublin,0,10,Tyrone,1,7,10,10,1589.114758,1553.944645,55,45,1589.114758,1553.944645,2017
2/11/17,Allianz Football League Roinn 4,Waterford,1,17,Wicklow,1,9,20,12,1476.189996,1451.989913,53,47,1496.411829,1431.76808,2017
2/12/17,Allianz Football League Roinn 1,Monaghan,0,7,Cavan,0,7,7,7,1519.339666,1490.250335,54,46,1519.339666,1490.250335,2017
2/12/17,Allianz Football League Roinn 1,Roscommon,2,9,Donegal,0,16,15,16,1488.30872,1500.776103,48,52,1481.663529,1507.421294,2017
2/12/17,Allianz Football League Roinn 2,Clare,2,11,Down,0,11,17,11,1509.892745,1450.385714,58,42,1525.625647,1434.652812,2017
2/12/17,Allianz Football League Roinn 2,Kildare,1,14,Cork,1,8,17,11,1522.795477,1513.151145,51,49,1541.631984,1494.314638,2017
2/12/17,Allianz Football League Roinn 2,Fermanagh,0,10,Galway,1,13,10,16,1520.703301,1513.234703,51,49,1500.893216,1533.044788,2017
2/12/17,Allianz Football League Roinn 2,Meath,3,15,Derry,0,9,24,9,1465.215932,1509.930127,44,56,1495.867527,1479.278532,2017
2/12/17,Allianz Football League Roinn 3,Louth,0,11,Longford,0,10,11,10,1519.877805,1513.148472,51,49,1526.654313,1506.371964,2017
2/12/17,Allianz Football League Roinn 3,Tipperary,1,16,Sligo,2,14,19,20,1533.149392,1490.762345,56,44,1525.523382,1498.388355,2017
2/12/17,Allianz Football League Roinn 3,Offaly,0,23,Antrim,1,7,23,10,1491.9756,1463.919061,54,46,1515.934128,1439.960534,2017
2/12/17,Allianz Football League Roinn 3,Armagh,0,16,Laois,2,11,16,17,1474.309959,1479.513255,49,51,1467.498397,1486.324816,2017
2/12/17,Allianz Football League Roinn 4,Carlow,0,16,London,2,15,16,21,1484.04607,1472.065146,52,48,1465.611246,1490.49997,2017
2/12/17,Allianz Football League Roinn 4,Limerick,0,12,Westmeath,1,18,12,21,1472.592029,1483.695812,48,52,1450.413754,1505.874087,2017
2/12/17,Allianz Football League Roinn 4,Leitrim,0,14,Wexford,0,16,14,16,1502.077198,1499.187978,50,50,1491.014247,1510.250929,2017
2/25/17,Allianz Football League Roinn 1,Mayo,1,19,Roscommon,0,14,22,14,1556.910877,1481.663529,61,39,1573.625722,1464.948684,2017
2/25/17,Allianz Football League Roinn 2,Down,1,13,Meath,0,14,16,14,1434.652812,1495.867527,41,59,1447.20552,1483.314819,2017
2/25/17,Allianz Football League Roinn 3,Laois,1,10,Tipperary,1,16,13,19,1486.324816,1525.523382,44,56,1469.354246,1542.493953,2017
2/25/17,Allianz Football League Roinn 4,Carlow,1,10,Limerick,0,10,13,10,1465.611246,1450.413754,52,48,1478.777235,1437.247766,2017
2/26/17,Allianz Football League Roinn 1,Donegal,2,5,Dublin,1,8,11,11,1507.421294,1589.114758,38,62,1507.421294,1589.114758,2017
2/26/17,Allianz Football League Roinn 1,Kerry,1,10,Monaghan,2,8,13,14,1545.500035,1519.339666,54,46,1538.135213,1526.704487,2017
2/26/17,Allianz Football League Roinn 2,Cork,1,14,Fermanagh,0,9,17,9,1494.314638,1500.893216,49,51,1516.636124,1478.57173,2017
2/26/17,Allianz Football League Roinn 2,Derry,1,18,Kildare,1,17,21,20,1479.278532,1541.631984,41,59,1487.215831,1533.694686,2017
2/26/17,Allianz Football League Roinn 2,Galway,3,13,Clare,1,11,22,14,1533.044788,1525.625647,51,49,1554.475638,1504.194798,2017
2/26/17,Allianz Football League Roinn 3,Offaly,0,14,Louth,2,13,14,19,1515.934128,1526.654313,48,52,1498.653414,1543.935027,2017
2/26/17,Allianz Football League Roinn 3,Longford,3,9,Armagh,3,11,18,20,1506.371964,1467.498397,56,44,1494.373746,1479.496616,2017
2/26/17,Allianz Football League Roinn 3,Antrim,0,11,Sligo,1,7,11,10,1439.960534,1498.388355,42,58,1447.837597,1490.511291,2017
2/26/17,Allianz Football League Roinn 4,Wexford,1,9,Waterford,0,10,12,10,1510.250929,1496.411829,52,48,1520.73374,1485.929017,2017
2/26/17,Allianz Football League Roinn 4,Wicklow,0,17,London,2,4,17,10,1431.76808,1490.49997,42,58,1455.413321,1466.85473,2017
2/26/17,Allianz Football League Roinn 4,Westmeath,2,18,Leitrim,1,9,24,12,1505.874087,1491.014247,52,48,1530.262488,1466.625846,2017
3/4/17,Allianz Football League Roinn 1,Dublin,1,16,Mayo,0,7,19,7,1589.114758,1573.625722,52,48,1613.450195,1549.290285,2017
3/4/17,Allianz Football League Roinn 1,Cavan,0,11,Donegal,1,16,11,19,1490.250335,1507.421294,48,52,1469.52488,1528.146749,2017
3/4/17,Allianz Football League Roinn 1,Tyrone,0,14,Monaghan,0,10,14,10,1553.944645,1526.704487,54,46,1568.598308,1512.050824,2017
3/4/17,Allianz Football League Roinn 4,Limerick,1,13,London,0,12,16,12,1437.247766,1466.85473,46,54,1454.478443,1449.624053,2017
3/5/17,Allianz Football League Roinn 1,Roscommon,1,13,Kerry,1,19,16,22,1464.948684,1538.135213,40,60,1450.025473,1553.058425,2017
3/5/17,Allianz Football League Roinn 2,Kildare,4,14,Fermanagh,0,14,26,14,1533.694686,1478.57173,58,42,1554.780206,1457.48621,2017
3/5/17,Allianz Football League Roinn 2,Meath,1,13,Galway,0,15,16,15,1483.314819,1554.475638,40,60,1491.385402,1546.405055,2017
3/5/17,Allianz Football League Roinn 2,Clare,2,11,Cork,0,9,17,9,1504.194798,1516.636124,48,52,1526.825532,1494.00539,2017
3/5/17,Allianz Football League Roinn 2,Derry,1,7,Down,1,15,10,18,1487.215831,1447.20552,56,44,1463.161868,1471.259482,2017
3/5/17,Allianz Football League Roinn 3,Louth,2,10,Antrim,1,11,16,14,1543.935027,1447.837597,63,37,1551.621911,1440.150713,2017
3/5/17,Allianz Football League Roinn 3,Armagh,6,22,Offaly,0,10,40,10,1479.496616,1498.653414,47,53,1515.415227,1462.734803,2017
3/5/17,Allianz Football League Roinn 3,Sligo,0,18,Laois,2,10,18,16,1490.511291,1469.354246,53,47,1500.73096,1459.134577,2017
3/5/17,Allianz Football League Roinn 4,Leitrim,2,14,Carlow,2,12,20,18,1466.625846,1478.777235,48,52,1477.93359,1467.469491,2017
3/5/17,Allianz Football League Roinn 4,Waterford,2,11,Westmeath,3,13,17,22,1485.929017,1530.262488,44,56,1470.594431,1545.597074,2017
3/5/17,Allianz Football League Roinn 4,Wicklow,0,13,Wexford,1,13,13,16,1455.413321,1520.73374,41,59,1444.451888,1531.695173,2017
3/11/17,Allianz Football League Roinn 3,Tipperary,3,17,Longford,0,18,26,18,1542.493953,1494.373746,57,43,1561.036746,1475.830953,2017
3/12/17,Allianz Football League Roinn 1,Tyrone,0,19,Cavan,1,9,19,12,1568.598308,1469.52488,64,36,1582.971455,1455.151733,2017
3/18/17,Allianz Football League Roinn 1,Donegal,0,12,Tyrone,0,6,12,6,1528.146749,1582.971455,42,58,1550.104044,1561.014161,2017
3/18/17,Allianz Football League Roinn 1,Kerry,0,13,Dublin,0,13,13,13,1553.058425,1613.450195,41,59,1553.058425,1613.450195,2017
3/18/17,Allianz Football League Roinn 2,Down,0,10,Kildare,2,9,10,15,1471.259482,1554.780206,38,62,1458.068808,1567.97088,2017
3/18/17,Allianz Football League Roinn 4,Carlow,2,10,Waterford,0,7,16,7,1467.469491,1470.594431,50,50,1490.669484,1447.394438,2017
3/19/17,Allianz Football League Roinn 1,Mayo,0,15,Cavan,1,14,15,17,1549.290285,1455.151733,63,37,1535.968265,1468.473753,2017
3/19/17,Allianz Football League Roinn 1,Monaghan,2,17,Roscommon,1,13,23,16,1512.050824,1450.025473,59,41,1528.702429,1433.373869,2017
