Date,competition,home_team,home_goals,home_points,away_team,away_goals,away_points,total_home_score,total_away_score,home_prob,draw_prob,away_prob,home_elo,away_elo
2/25/17,Allianz Football League Roinn 2,Down,1,13,Meath,0,14,16,14,0.419918778,0.101694915,0.580081222,1436,1493
2/25/17,Allianz Football League Roinn 3,Laois,1,10,Tipperary,1,16,13,19,0.456090319,0.117647059,0.543909681,1492,1523
2/25/17,Allianz Football League Roinn 4,Carlow,1,10,Limerick,0,10,13,10,0.515006261,0.105990783,0.484993739,1468,1457
2/26/17,Allianz Football League Roinn 1,Donegal,2,5,Dublin,1,8,11,11,0.382256789,0.101694915,0.617743211,1513,1596
2/26/17,Allianz Football League Roinn 1,Kerry,1,10,Monaghan,2,8,13,14,0.542707886,0.068322981,0.457292114,1547,1517
2/26/17,Allianz Football League Roinn 2,Cork,1,14,Fermanagh,0,9,17,9,0.495569811,0.105990783,0.504430189,1496,1500
2/26/17,Allianz Football League Roinn 2,Derry,1,18,Kildare,1,17,21,20,0.434318251,0.117647059,0.565681749,1481,1527
2/26/17,Allianz Football League Roinn 2,Galway,3,13,Clare,1,11,22,14,0.510063478,0.105990783,0.489936522,1528,1521
2/26/17,Allianz Football League Roinn 3,Offaly,0,14,Louth,2,13,14,19,0.488510648,0.105990783,0.511489352,1513,1521
2/26/17,Allianz Football League Roinn 3,Longford,3,9,Armagh,3,11,18,20,0.555644701,0.068322981,0.444355299,1498,1459
2/26/17,Allianz Football League Roinn 3,Antrim,0,11,Sligo,1,7,11,10,0.42611013,0.117647059,0.57388987,1446,1498
2/26/17,Allianz Football League Roinn 4,Wexford,1,9,Waterford,0,10,12,10,0.51719204,0.105990783,0.48280796,1499,1487
2/26/17,Allianz Football League Roinn 4,Wicklow,0,17,London,2,4,17,10,0.444823847,0.117647059,0.555176153,1441,1479
2/26/17,Allianz Football League Roinn 4,Westmeath,2,18,Leitrim,1,9,24,12,0.526645024,0.068322981,0.473354976,1499,1481
3/4/17,Allianz Football League Roinn 1,Dublin,1,16,Mayo,0,7,19,7,0.530447674,0.068322981,0.469552326,1595,1573
3/4/17,Allianz Football League Roinn 1,Cavan,0,11,Donegal,1,16,11,19,0.467797302,0.117647059,0.532202698,1492,1515
3/4/17,Allianz Football League Roinn 1,Tyrone,0,14,Monaghan,0,10,14,10,0.534559455,0.068322981,0.465440545,1550,1526
3/4/17,Allianz Football League Roinn 4,Limerick,1,13,London,0,12,16,12,0.477125638,0.105990783,0.522874362,1447,1463
3/5/17,Allianz Football League Roinn 1,Roscommon,1,13,Kerry,1,19,16,22,0.412566448,0.101694915,0.587433552,1476,1537
3/5/17,Allianz Football League Roinn 2,Kildare,4,14,Fermanagh,0,14,26,14,0.548555404,0.068322981,0.451444596,1518,1484
3/5/17,Allianz Football League Roinn 2,Meath,1,13,Galway,0,15,16,15,0.41220361,0.101694915,0.58779639,1482,1543
3/5/17,Allianz Football League Roinn 2,Clare,2,11,Cork,0,9,17,9,0.491033927,0.105990783,0.508966073,1506,1512
3/5/17,Allianz Football League Roinn 2,Derry,1,7,Down,1,15,10,18,0.562377405,0.068322981,0.437622595,1491,1447
3/5/17,Allianz Football League Roinn 3,Louth,2,10,Antrim,1,11,16,14,0.60856364,0.057377049,0.39143636,1533,1456
3/5/17,Allianz Football League Roinn 3,Armagh,6,22,Offaly,0,10,40,10,0.455882531,0.117647059,0.544117469,1470,1500
3/5/17,Allianz Football League Roinn 3,Sligo,0,18,Laois,2,10,18,16,0.512465944,0.105990783,0.487534056,1488,1480
3/5/17,Allianz Football League Roinn 4,Leitrim,2,14,Carlow,2,12,20,18,0.477522559,0.105990783,0.522477441,1462,1478
3/5/17,Allianz Football League Roinn 4,Waterford,2,11,Westmeath,3,13,17,22,0.443404475,0.117647059,0.556595525,1478,1518
3/5/17,Allianz Football League Roinn 4,Wicklow,0,13,Wexford,1,13,13,16,0.425976258,0.117647059,0.574023742,1457,1509
3/11/17,Allianz Football League Roinn 3,Tipperary,3,17,Longford,0,18,26,18,0.567994495,0.068322981,0.432005505,1535,1487
3/12/17,Allianz Football League Roinn 1,Tyrone,0,19,Cavan,1,9,19,12,0.617135758,0.057377049,0.382864242,1561,1478
3/18/17,Allianz Football League Roinn 1,Donegal,0,12,Tyrone,0,6,12,6,0.438961848,0.117647059,0.561038152,1529,1572
3/18/17,Allianz Football League Roinn 1,Kerry,0,13,Dublin,0,13,13,13,0.408287155,0.101694915,0.591712845,1548,1613
3/18/17,Allianz Football League Roinn 2,Down,0,10,Kildare,2,9,10,15,0.400027849,0.101694915,0.599972151,1465,1535
3/18/17,Allianz Football League Roinn 4,Carlow,2,10,Waterford,0,7,16,7,0.501193389,0.105990783,0.498806611,1468,1467
3/19/17,Allianz Football League Roinn 1,Mayo,0,15,Cavan,1,14,15,17,0.624495105,0.057377049,0.375504895,1555,1467
3/19/17,Allianz Football League Roinn 1,Monaghan,2,17,Roscommon,1,13,23,16,0.57220052,0.068322981,0.42779948,1515,1465
3/19/17,Allianz Football League Roinn 2,Fermanagh,0,18,Clare,1,10,18,13,0.421012702,0.101694915,0.578987298,1466,1522
3/19/17,Allianz Football League Roinn 2,Cork,0,18,Meath,1,15,18,18,0.506816189,0.105990783,0.493183811,1496,1492
3/19/17,Allianz Football League Roinn 2,Galway,5,15,Derry,2,15,30,21,0.584942937,0.057377049,0.415057063,1533,1474
3/19/17,Allianz Football League Roinn 3,Antrim,1,10,Laois,0,11,13,11,0.468782278,0.117647059,0.531217722,1449,1470
3/19/17,Allianz Football League Roinn 3,Louth,0,11,Armagh,3,15,11,24,0.542744968,0.068322981,0.457255032,1540,1510
3/19/17,Allianz Football League Roinn 3,Longford,0,16,Sligo,2,7,16,13,0.466028808,0.117647059,0.533971192,1474,1498
3/19/17,Allianz Football League Roinn 3,Offaly,2,11,Tipperary,2,15,17,21,0.37502731,0.101694915,0.62497269,1460,1548
3/19/17,Allianz Football League Roinn 4,Wexford,0,15,London,0,9,15,9,0.594539016,0.057377049,0.405460984,1518,1451
3/19/17,Allianz Football League Roinn 4,Limerick,2,11,Leitrim,0,15,17,15,0.481197056,0.105990783,0.518802944,1459,1472
3/19/17,Allianz Football League Roinn 4,Westmeath,0,19,Wicklow,0,14,19,14,0.614564886,0.057377049,0.385435114,1529,1448
3/25/17,Allianz Football League Roinn 1,Dublin,2,29,Roscommon,0,14,35,14,0.714258841,0.056603774,0.285741159,1612,1452
3/25/17,Allianz Football League Roinn 3,Armagh,1,12,Antrim,0,13,15,13,0.604798706,0.057377049,0.395201294,1533,1459
3/25/17,Allianz Football League Roinn 3,Laois,3,13,Longford,0,13,22,13,0.464291931,0.117647059,0.535708069,1460,1485
3/25/17,Allianz Football League Roinn 4,Waterford,0,8,Limerick,0,14,8,14,0.47368848,0.117647059,0.52631152,1451,1469
3/26/17,Allianz Football League Roinn 1,Cavan,3,10,Kerry,0,13,19,13,0.398909698,0.101694915,0.601090302,1479,1550
3/26/17,Allianz Football League Roinn 1,Tyrone,0,12,Mayo,1,10,12,13,0.519407498,0.105990783,0.480592502,1557,1543
3/26/17,Allianz Football League Roinn 1,Donegal,1,11,Monaghan,1,11,14,14,0.523988388,0.105990783,0.476011612,1544,1528
3/26/17,Allianz Football League Roinn 2,Derry,2,10,Cork,0,20,16,20,0.447988346,0.117647059,0.552011654,1460,1496
3/26/17,Allianz Football League Roinn 2,Meath,3,15,Fermanagh,0,6,24,6,0.515703451,0.105990783,0.484296549,1492,1481
3/26/17,Allianz Football League Roinn 2,Down,1,13,Galway,3,15,16,24,0.370606473,0.068493151,0.629393527,1455,1547
3/26/17,Allianz Football League Roinn 2,Kildare,0,18,Clare,1,14,18,17,0.554732348,0.068322981,0.445267652,1545,1507
3/26/17,Allianz Football League Roinn 3,Tipperary,0,12,Louth,0,16,12,16,0.555806788,0.068322981,0.444193212,1557,1518
3/26/17,Allianz Football League Roinn 3,Sligo,2,10,Offaly,2,14,16,20,0.550836409,0.068322981,0.449163591,1486,1451
3/26/17,Allianz Football League Roinn 4,Leitrim,2,16,London,0,15,22,15,0.532060267,0.068322981,0.467939733,1462,1440
3/26/17,Allianz Football League Roinn 4,Wexford,0,9,Westmeath,3,24,9,33,0.485575098,0.105990783,0.514424902,1528,1538
3/26/17,Allianz Football League Roinn 4,Wicklow,0,10,Carlow,1,18,10,21,0.433751746,0.117647059,0.566248254,1438,1484
4/1/17,Allianz Football League Roinn 4,Leitrim,1,13,Waterford,2,8,16,14,0.554493746,0.068322981,0.445506254,1476,1438
4/2/17,Allianz Football League Roinn 1,Monaghan,1,15,Dublin,2,15,18,21,0.360273271,0.068493151,0.639726729,1528,1628
4/2/17,Allianz Football League Roinn 1,Mayo,1,12,Donegal,0,13,15,13,0.511550376,0.105990783,0.488449624,1552,1544
4/2/17,Allianz Football League Roinn 1,Kerry,1,21,Tyrone,2,11,24,17,0.479431525,0.105990783,0.520568475,1534,1548
4/2/17,Allianz Football League Roinn 1,Roscommon,1,13,Cavan,1,10,16,13,0.416266817,0.101694915,0.583733183,1436,1495
4/2/17,Allianz Football League Roinn 2,Galway,0,14,Kildare,0,13,14,13,0.507921987,0.105990783,0.492078013,1558,1553
4/2/17,Allianz Football League Roinn 2,Cork,1,10,Down,0,13,13,13,0.589784909,0.057377049,0.410215091,1506,1443
4/2/17,Allianz Football League Roinn 2,Clare,1,13,Meath,3,19,16,28,0.475864697,0.105990783,0.524135303,1500,1516
4/2/17,Allianz Football League Roinn 2,Fermanagh,0,13,Derry,2,8,13,14,0.509251844,0.105990783,0.490748156,1456,1450
4/2/17,Allianz Football League Roinn 2,Antrim,1,13,Longford,0,16,16,16,0.476675128,0.105990783,0.523324872,1451,1468
4/2/17,Allianz Football League Roinn 3,Louth,1,11,Sligo,0,17,14,17,0.581350933,0.057377049,0.418649067,1531,1474
4/2/17,Allianz Football League Roinn 3,Armagh,0,16,Tipperary,3,8,16,17,0.494361455,0.105990783,0.505638545,1540,1544
4/2/17,Allianz Football League Roinn 3,Offaly,3,15,Laois,4,11,24,23,0.47930826,0.105990783,0.52069174,1464,1478
4/2/17,Allianz Football League Roinn 4,Carlow,2,14,Wexford,1,7,20,10,0.503819613,0.105990783,0.496180387,1501,1498
4/2/17,Allianz Football League Roinn 4,Westmeath,3,26,London,1,9,35,12,0.694390934,0.056603774,0.305609066,1569,1427
4/2/17,Allianz Football League Roinn 4,Limerick,2,13,Wicklow,9,2,19,29,0.585071389,0.057377049,0.414928611,1482,1422
